,Unnamed: 0_x,話者,I(明瞭さ),F(親密さ),C(社会階層),SessionID,Unnamed: 0_y,Number,会話概要,形式,場所,活動,話者間の関係性,収録年
0,2,C001_002_1,1.3188958073132708,-0.4393318340104469,-0.2400065560634484,C001_002,1,2,友人宅で友人と雑談,雑談,室内_友人知人宅,休息,友人知人,2016年
1,3,C001_002_2,2.4158466526363687,-1.7469686346483,1.3846281042982187,C001_002,1,2,友人宅で友人と雑談,雑談,室内_友人知人宅,休息,友人知人,2016年
2,4,C001_003_1,2.2946278797959594,-1.47133709161001,1.00880283821909,C001_003,2,2,自宅で友人に仕事について相談,用談・相談,自宅,休息,友人知人,2016年
3,5,C001_003_2,2.33438354601367,-1.2598467708761825,0.9324962659387392,C001_003,2,2,自宅で友人に仕事について相談,用談・相談,自宅,休息,友人知人,2016年
4,6,C001_004_1,1.7022496483077394,-1.0811416897571966,0.4366870470479921,C001_004,3,2,飲食店で同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,同僚,2016年
5,7,C001_004_2,2.178890444148383,-1.3756947868573224,0.9504106234060954,C001_004,3,2,飲食店で同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,同僚,2016年
6,8,C001_005_1,1.821100177447976,-0.8608883843042642,0.4218375594578161,C001_005,4,2,実家近くで母と散歩しながら,雑談,屋外,移動,家族,2016年
7,9,C001_005_2,2.015882603400303,-1.081252707439058,0.9275330788552436,C001_005,4,2,実家近くで母と散歩しながら,雑談,屋外,移動,家族,2016年
8,10,C001_006_1,1.9453387095067256,-0.9826657691013126,0.7045190336285427,C001_006,5,2,実家近くで母と散歩しながら,雑談,屋外,移動,家族,2016年
9,11,C001_006_2,2.0059409442805345,-1.0873075568927444,0.8700470599572763,C001_006,5,2,実家近くで母と散歩しながら,雑談,屋外,移動,家族,2016年
10,14,C001_012_1,2.139247417250117,-1.1912518413945492,0.8730699172245234,C001_012,7,2,同僚宅で同僚と夕食を取りながら,雑談,室内_友人知人宅,食事・付き合い,同僚,2016年
11,15,C001_012_2,2.2114800350582704,-1.4966303111243016,1.0525289299180858,C001_012,7,2,同僚宅で同僚と夕食を取りながら,雑談,室内_友人知人宅,食事・付き合い,同僚,2016年
12,16,C001_013_1,2.26249955557854,-1.317396409998322,0.978473258766743,C001_013,8,2,同僚宅で同僚と飲みながら,雑談,室内_友人知人宅,付き合い,同僚,2016年
13,17,C001_013_2,2.0509508463385093,-1.2983748560661572,0.7376913059059004,C001_013,8,2,同僚宅で同僚と飲みながら,雑談,室内_友人知人宅,付き合い,同僚,2016年
14,18,C002_003_1,2.092557281735488,-1.28456956895493,0.9624867691924536,C002_003,9,2,自宅で配偶者とテレビを見ながら朝食,雑談,自宅,食事,家族,2017年
15,19,C002_003_2,1.93052658464944,-1.0019109338650718,0.8881974430615527,C002_003,9,2,自宅で配偶者とテレビを見ながら朝食,雑談,自宅,食事,家族,2017年
16,20,C002_004_1,2.3171317943288177,-1.4700243129289383,1.1663887216071396,C002_004,10,2,自宅で息子とお茶をしながら,雑談,自宅,休息,家族,2017年
17,21,C002_004_2,1.921942569937876,-0.9993288760573366,0.6581849672703192,C002_004,10,2,自宅で息子とお茶をしながら,雑談,自宅,休息,家族,2017年
18,22,C002_005_1,1.9140440757908437,-0.7212051665243379,0.4338771541245745,C002_005,11,2,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2017年
19,23,C002_005_2,2.2313876759380653,-1.480941510896718,1.0796347190062965,C002_005,11,2,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2017年
20,32,C002_008_1,2.103382378575902,-1.1825151795821751,0.8637806246855281,C002_008,14,2,買い物のため息子と車で移動中,雑談,交通機関_車,移動,家族,2017年
21,33,C002_008_2,1.6157773597691347,-0.5361602376642064,0.2490492522339654,C002_008,14,2,買い物のため息子と車で移動中,雑談,交通機関_車,移動,家族,2017年
22,34,C002_013_1,2.100626914339898,-0.9260864838420356,0.9055288232166951,C002_013,15,2,福祉施設の部屋で母と雑談,雑談,公共商業施設_医療福祉施設,休息,家族,2017年
24,35,C002_013_2,1.8107754685790889,-0.7755377664276596,0.4016283005537208,C002_013,15,2,福祉施設の部屋で母と雑談,雑談,公共商業施設_医療福祉施設,休息,家族,2017年
26,36,C002_013_1,2.0238428889717817,-0.8936575391893518,0.8813757274319881,C002_013,15,2,福祉施設の部屋で母と雑談,雑談,公共商業施設_医療福祉施設,休息,家族,2017年
28,37,C002_013_2,1.7837840984503617,-0.6950457951706912,0.4663574434447,C002_013,15,2,福祉施設の部屋で母と雑談,雑談,公共商業施設_医療福祉施設,休息,家族,2017年
30,44,C002_016_1,2.3024987035840065,-1.4921295205560137,1.0914594297114155,C002_016,19,2,飲食店で姉と昼食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2017年
31,45,C002_016_2,1.716432637896787,-1.104676640761409,0.4215425645951066,C002_016,19,2,飲食店で姉と昼食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2017年
32,50,K001_004_1,2.3939900062546826,-1.3557218358069991,0.990956036862562,K001_004,21,2,飲食店で友人と雑談,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年
33,51,K001_004_2,2.0040946104574315,-1.1489445813260766,0.6996639648455527,K001_004,21,2,飲食店で友人と雑談,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年
34,52,K001_008_1,2.2895595836929887,-1.3243893777374425,0.9329680347198824,K001_008,22,2,飲食店で姉とお茶をしながら,雑談,公共商業施設_飲食店,食事・付き合い,家族,2016年
35,53,K001_008_2,2.161418680531607,-1.478631501161236,1.0751090777410743,K001_008,22,2,飲食店で姉とお茶をしながら,雑談,公共商業施設_飲食店,食事・付き合い,家族,2016年
36,54,K001_009_1,2.29034562481329,-0.9134739338936728,0.5593345608257044,K001_009,23,2,友人と散歩しながら,雑談,屋外,移動・レジャー活動,友人知人,2016年
37,55,K001_009_2,2.0417434730883373,-1.0787705003113974,0.6206833546500998,K001_009,23,2,友人と散歩しながら,雑談,屋外,移動・レジャー活動,友人知人,2016年
38,56,K001_010_1,1.9460791646188145,-1.2092401327923274,0.7470075860007684,K001_010,24,2,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
39,57,K001_010_2,2.3629090641373307,-1.827369099693151,1.3063461176836098,K001_010,24,2,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
40,58,K001_011_1,2.019986517619693,-0.8445991797716346,0.6754932579446719,K001_011,25,2,自宅で友人と電話で旅行の相談,用談・相談,自宅,その他,友人知人,2016年
41,59,K001_011_2,2.086490998547246,-0.9748506055667407,0.6867673706322858,K001_011,25,2,自宅で友人と電話で旅行の相談,用談・相談,自宅,その他,友人知人,2016年
42,62,K001_014_1,2.0126563730607905,-0.768403377704232,0.6199899952416389,K001_014,27,2,飲食店で友人と旅行の相談,用談・相談,公共商業施設_飲食店,食事・その他,友人知人,2016年
43,63,K001_014_2,2.304014015561396,-1.5294180454933728,1.3253004888638864,K001_014,27,2,飲食店で友人と旅行の相談,用談・相談,公共商業施設_飲食店,食事・その他,友人知人,2016年
44,66,K001_017_1,2.3431280477502154,-1.4513666729394057,1.0807628563124942,K001_017,29,2,飲食店で後輩と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
45,67,K001_017_2,2.510260984529071,-2.3356737061021597,1.3540839057775218,K001_017,29,2,飲食店で後輩と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
46,68,K001_019_1,2.5676784677508784,-1.7478683581158367,1.3947217478588465,K001_019,30,2,自宅で妹と電話で雑談,雑談,自宅,休息,家族,2016年
47,69,K001_019_2,1.6675524767848078,-1.1195409720591687,0.402058176194158,K001_019,30,2,自宅で妹と電話で雑談,雑談,自宅,休息,家族,2016年
48,70,K002_003_1,2.455454656182756,-2.035503276399184,1.3861689767906835,K002_003,31,2,自営店舗で知人からマッサージを受けながら,雑談,職場,仕事・身の周りの用事,友人知人,2016年
50,71,K002_003_2,2.758792199891132,-2.6653937542430413,1.6824092430346824,K002_003,31,2,自営店舗で知人からマッサージを受けながら,雑談,職場,仕事・身の周りの用事,友人知人,2016年
52,72,K002_003_1,2.6071303153712706,-2.455181531258491,1.630948764416882,K002_003,31,2,自営店舗で知人からマッサージを受けながら,雑談,職場,仕事・身の周りの用事,友人知人,2016年
54,73,K002_003_2,2.551191775980928,-2.368697810403214,1.6412224201726735,K002_003,31,2,自営店舗で知人からマッサージを受けながら,雑談,職場,仕事・身の周りの用事,友人知人,2016年
56,74,K002_004_1,2.5693167679888678,-2.415843969630726,1.748129293786309,K002_004,33,2,自営店舗で仕事関係者と仕事の打合せ,用談・相談,職場,仕事,仕事関係,2016年
57,75,K002_004_2,2.1312864608890028,-2.2301662376329747,1.2609592132086334,K002_004,33,2,自営店舗で仕事関係者と仕事の打合せ,用談・相談,職場,仕事,仕事関係,2016年
58,76,K002_007_1,2.227131914581144,-1.5751675271888386,1.2049976607865265,K002_007,34,2,自宅で娘とスケジュールを確認しながら,用談・相談,自宅,家事雑事,家族,2016年
59,77,K002_007_2,2.294384388674593,-1.736073892768974,1.1894755766119225,K002_007,34,2,自宅で娘とスケジュールを確認しながら,用談・相談,自宅,家事雑事,家族,2016年
60,78,K002_010_1,2.6993870515001896,-2.2273895505871995,1.5853354859079831,K002_010,35,2,飲食店で友人と仕事の打合せ,用談・相談,公共商業施設_飲食店,食事・仕事,友人知人,2016年
61,79,K002_010_2,2.4690532834862733,-1.83793580747725,1.4162348758844558,K002_010,35,2,飲食店で友人と仕事の打合せ,用談・相談,公共商業施設_飲食店,食事・仕事,友人知人,2016年
62,80,K002_012_1,2.2789570348959747,-1.6307664584334454,1.1829921503555123,K002_012,36,2,自営店舗で友人と雑談,雑談,職場,付き合い,友人知人,2016年
63,81,K002_012_2,2.1705368718952003,-1.747613221363291,1.0364941808082777,K002_012,36,2,自営店舗で友人と雑談,雑談,職場,付き合い,友人知人,2016年
64,86,K002_016_1,2.2178376600853187,-1.541689880128678,1.0585939258605628,K002_016,39,2,宿泊施設のロビーで友人と雑談,雑談,公共商業施設_宿泊施設,休息,友人知人,2016年
65,87,K002_016_2,2.394287648183192,-1.917308387047706,1.2534655729270874,K002_016,39,2,宿泊施設のロビーで友人と雑談,雑談,公共商業施設_宿泊施設,休息,友人知人,2016年
66,92,K003_002_1,2.194500004651552,-1.2892701162188167,1.0051848135139654,K003_002,42,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
70,93,K003_002_2,0.999238230663755,0.1812845303867401,-0.783472908889113,K003_002,42,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
74,94,K003_002_1,1.919260077947764,-1.5549741165878912,0.991744602239926,K003_002,42,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
78,95,K003_002_2,,,,K003_002,42,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
82,96,K003_002_1,2.2827078218169063,-1.4332692045764095,1.1130642101485193,K003_002,42,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
86,97,K003_002_2,1.5537615203257842,-0.4277694259137458,0.1903755757086557,K003_002,42,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
90,98,K003_002_1,2.110680184164569,-1.1870299068767909,0.8922255890733115,K003_002,42,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
94,99,K003_002_2,1.2763654256191574,-0.2342623993217465,0.0932580610140049,K003_002,42,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
98,100,K003_003_1,2.062213496244226,-1.1885203013813312,0.9301885801334242,K003_003,46,2,母の店舗で母と店番をしながら,雑談,職場,休息,家族,2016年
99,101,K003_003_2,2.0756295688552826,-1.1771667451719263,0.8885631581279259,K003_003,46,2,母の店舗で母と店番をしながら,雑談,職場,休息,家族,2016年
100,102,K003_005_1,2.138684732973888,-1.401144306224925,1.0329010233161169,K003_005,47,2,花火大会の会場で友人と雑談,用談・相談,屋外,レジャー活動,友人知人,2016年
101,103,K003_005_2,2.2156930986152594,-1.382056863011835,1.1003891668652206,K003_005,47,2,花火大会の会場で友人と雑談,用談・相談,屋外,レジャー活動,友人知人,2016年
102,104,K003_006_1,2.1499390417174653,-1.1689765847253628,0.7236911977440441,K003_006,48,2,大学で友人と実験計画について相談,用談・相談,学校,食事・学業,友人知人,2016年
103,105,K003_006_2,2.208767451915701,-1.398480099410216,0.9872178494763548,K003_006,48,2,大学で友人と実験計画について相談,用談・相談,学校,食事・学業,友人知人,2016年
104,106,K003_008_1,1.8765620184816243,-0.8224719879465912,0.449427820338189,K003_008,49,2,飲食店で友人とお茶をしながら,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年
105,107,K003_008_2,1.927070471821219,-1.088638378277503,0.6736267848580887,K003_008,49,2,飲食店で友人とお茶をしながら,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年
106,108,K003_012_1,1.9308830994224253,-1.1162755879790942,0.5816603215469308,K003_012,50,2,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
108,109,K003_012_2,1.868668828849424,-0.8821770673921666,0.636034340150024,K003_012,50,2,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
110,110,K003_012_1,2.156669801890413,-1.3012807566730624,0.9205385672492432,K003_012,50,2,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
112,111,K003_012_2,1.862983987200956,-1.1593742440876027,0.7163228013909992,K003_012,50,2,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
114,118,K003_017_1,1.994777336606422,-1.068143995795743,0.6756264336907728,K003_017,54,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
115,119,K003_017_2,2.0339922014585743,-1.1664582682088152,0.8930791499293098,K003_017,54,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
116,120,K004_001_1,2.0255953282563786,-1.2847152525798402,1.0701400029637076,K004_001,55,2,自宅で母にお礼の電話,雑談,自宅,付き合い,家族,2017年
117,121,K004_001_2,1.4714844474343551,-0.1513386558381224,0.0372119885183302,K004_001,55,2,自宅で母にお礼の電話,雑談,自宅,付き合い,家族,2017年
118,122,K004_005_1,1.853892626942272,-1.390178143473398,0.8539357543025268,K004_005,56,2,グラウンドで息子のサッカーの応援をしながら,雑談,屋外,レジャー活動,友人知人,2017年
119,123,K004_005_2,2.166040035071555,-1.7144183168316836,0.8063243451692322,K004_005,56,2,グラウンドで息子のサッカーの応援をしながら,雑談,屋外,レジャー活動,友人知人,2017年
120,124,K004_007_1,2.052210165203599,-1.2146794812474384,0.9480342378244548,K004_007,57,2,自宅で息子と椅子の座面の貼り替え,用談・相談,自宅,家事雑事,家族,2017年
121,125,K004_007_2,2.04700453021691,-1.4526063298882768,1.0380167888332483,K004_007,57,2,自宅で息子と椅子の座面の貼り替え,用談・相談,自宅,家事雑事,家族,2017年
122,130,K004_011_1,1.9683809214196264,-1.0341391665929405,0.7655138799654384,K004_011,60,2,自宅で息子とお菓子作り,用談・相談,自宅,家事雑事,家族,2017年
123,131,K004_011_2,1.953802608476079,-1.0394739922281002,0.9421846944643296,K004_011,60,2,自宅で息子とお菓子作り,用談・相談,自宅,家事雑事,家族,2017年
124,146,K005_002_1,2.035417639122456,-1.072235812756415,0.956389517128582,K005_002,68,2,自宅で友人と料理をしながら,雑談,自宅,家事雑事,友人知人,2017年
125,147,K005_002_2,1.9325875982036,-0.8909170079555622,0.7427533659875535,K005_002,68,2,自宅で友人と料理をしながら,雑談,自宅,家事雑事,友人知人,2017年
126,150,K005_005_1,1.8484539238697828,-1.3419321407651064,0.6870541880845087,K005_005,70,2,イベントスペースで友人にほうとう作りの相談,用談・相談,職場,その他,友人知人,2017年
127,151,K005_005_2,2.743983938317105,-2.106954027298635,1.5817438948617044,K005_005,70,2,イベントスペースで友人にほうとう作りの相談,用談・相談,職場,その他,友人知人,2017年
128,152,K005_006_1,2.1209804574379207,-1.299038630047818,1.2463815417833066,K005_006,71,2,福祉施設の部屋で祖母と昼食を取りながら,雑談,公共商業施設_医療福祉施設,食事,家族,2017年
129,153,K005_006_2,1.7055908613741804,-1.1777800206342794,0.7028583665832602,K005_006,71,2,福祉施設の部屋で祖母と昼食を取りながら,雑談,公共商業施設_医療福祉施設,食事,家族,2017年
130,156,K005_016_1,2.082101818234946,-1.1668703445065176,0.967114769890966,K005_016,73,2,自宅で友人と昼食について相談,用談・相談,自宅,その他,友人知人,2017年
131,157,K005_016_2,1.8514840359034148,-1.0494343197904477,0.6557864333585707,K005_016,73,2,自宅で友人と昼食について相談,用談・相談,自宅,その他,友人知人,2017年
136,160,K005_019_1,2.2218966729047938,-1.404231832277201,1.1088291519344955,K005_019,74,2,実家でおじと電話で雑談,雑談,室内_実家,付き合い,親戚,2017年
138,161,K005_019_2,2.18692935092392,-1.5234568155595845,1.2482974891846574,K005_019,74,2,実家でおじと電話で雑談,雑談,室内_実家,付き合い,親戚,2017年
140,162,K005_020_1,2.1092356169652504,-1.354753850087524,1.0593627107952808,K005_020,76,2,実家で父とワークショップの準備をしながら,用談・相談,室内_実家,仕事・その他,家族,2017年
141,163,K005_020_2,1.7585083234181216,-0.77423512868587,0.7015585194065632,K005_020,76,2,実家で父とワークショップの準備をしながら,用談・相談,室内_実家,仕事・その他,家族,2017年
142,168,K005_024_1,2.078042216802624,-0.6723861449647207,0.5262019630677092,K005_024,78,2,移動中に母に電話で買い物の相談,用談・相談,屋外,家事雑事,家族,2017年
144,170,K005_027_1,2.16480567097152,-1.4419655722804767,1.0538035968947512,K005_027,79,2,友人宅でパタンナーの友人にヘアバンド製作の相談,用談・相談,室内_友人知人宅,その他,仕事関係,2017年
145,171,K005_027_2,2.1958234779760173,-1.252688836691804,0.9783044798902588,K005_027,79,2,友人宅でパタンナーの友人にヘアバンド製作の相談,用談・相談,室内_友人知人宅,その他,仕事関係,2017年
146,172,K005_028_1,1.693313470789726,-0.8668893670026043,0.3339872254127098,K005_028,80,2,味噌工房で友人と味噌作りをしながら,雑談,職場_相手の職場,付き合い・仕事,友人知人,2017年
147,173,K005_028_2,2.37696808110155,-1.515191808174156,1.270465027752941,K005_028,80,2,味噌工房で友人と味噌作りをしながら,雑談,職場_相手の職場,付き合い・仕事,友人知人,2017年
148,174,K005_031_1,2.3732370141038865,-1.6315281976441156,1.0284531406571378,K005_031,81,2,福祉作業所で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2017年
149,175,K005_031_2,2.301554702101004,-1.2306989771066734,1.078734996517963,K005_031,81,2,福祉作業所で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2017年
150,176,K005_033_1,1.3050398483706696,-0.5236861083566214,-0.1988069760029143,K005_033,82,2,自宅で友人と電話で品物受け渡しの相談,用談・相談,自宅,仕事,友人知人,2017年
151,177,K005_033_2,2.1856459400253496,-1.718921442745418,1.3579364963183087,K005_033,82,2,自宅で友人と電話で品物受け渡しの相談,用談・相談,自宅,仕事,友人知人,2017年
152,178,K006_002_1,2.118567921819277,-1.6123038066029225,0.9108737685296012,K006_002,83,2,自宅で配偶者と朝食を取りながら,雑談,自宅,食事,家族,2017年
154,179,K006_002_2,2.261719717960848,-1.4872587387707907,1.161268586316877,K006_002,83,2,自宅で配偶者と朝食を取りながら,雑談,自宅,食事,家族,2017年
156,180,K006_002_1,1.9791298889804243,-1.2986729057993247,0.9445788775271252,K006_002,83,2,自宅で配偶者と朝食を取りながら,雑談,自宅,食事,家族,2017年
158,181,K006_002_2,1.9920398906611396,-0.9453826169107226,0.717192268565615,K006_002,83,2,自宅で配偶者と朝食を取りながら,雑談,自宅,食事,家族,2017年
160,182,K006_003_1,2.1078731786629974,-1.0645063963311607,0.8915147004093781,K006_003,85,2,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年
162,183,K006_003_2,2.212944090809319,-1.2964708056171466,1.0732309037536691,K006_003,85,2,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年
164,184,K006_003_1,2.009041892143144,-1.061816448059783,0.7889505678153277,K006_003,85,2,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年
166,185,K006_003_2,2.050535003551657,-1.140413567523972,0.8555988381256893,K006_003,85,2,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年
168,186,K006_006_1,2.153465004263557,-1.5974938597289188,1.1391709939800554,K006_006,87,2,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2017年
169,187,K006_006_2,1.882094279009364,-1.2009579060982192,0.7562582345191037,K006_006,87,2,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2017年
170,188,K006_009_1,2.5550195735743038,-2.690114633345324,1.7674857630756458,K006_009,88,2,自宅スクールで仕事関係者とお茶をしながら,雑談,職場,食事・付き合い,仕事関係,2017年
171,189,K006_009_2,1.6641608939646322,-1.408612621882503,0.5466521723108669,K006_009,88,2,自宅スクールで仕事関係者とお茶をしながら,雑談,職場,食事・付き合い,仕事関係,2017年
172,190,K006_011_1,2.1405909310493403,-1.3246773441144457,1.0408878809207265,K006_011,89,2,レンタルスペースで娘と仕事の相談,用談・相談,職場,仕事,家族,2017年
173,191,K006_011_2,1.931721759852684,-1.3663081540770383,0.8728612081697344,K006_011,89,2,レンタルスペースで娘と仕事の相談,用談・相談,職場,仕事,家族,2017年
174,192,K006_013_1,1.8250661311810936,-0.841117390972275,0.6618581718731938,K006_013,90,2,海岸で配偶者と犬の散歩をしながら,雑談,屋外,家事雑事・移動,家族,2017年
175,193,K006_013_2,1.3167659537051284,-0.0800920298662967,-0.1781815790627329,K006_013,90,2,海岸で配偶者と犬の散歩をしながら,雑談,屋外,家事雑事・移動,家族,2017年
176,194,K006_016_1,1.8835223966910093,-1.048389707641851,0.7411198285645808,K006_016,91,2,自宅で友人と電話で出産祝いについて相談,用談・相談,自宅,付き合い,友人知人,2017年
177,195,K006_016_2,1.893548556197604,-1.0283780956825384,0.9332062453148048,K006_016,91,2,自宅で友人と電話で出産祝いについて相談,用談・相談,自宅,付き合い,友人知人,2017年
178,198,K006_018_1,2.3147975240725187,-1.8130063459629029,1.0809593473670556,K006_018,93,2,自宅スクールで仕事関係者とお茶をしながら,雑談,職場,付き合い,仕事関係,2017年
179,199,K006_018_2,2.43823481092375,-2.171461348393929,1.2808034624161129,K006_018,93,2,自宅スクールで仕事関係者とお茶をしながら,雑談,職場,付き合い,仕事関係,2017年
180,200,K006_020_1,2.230501123305668,-1.800486268309918,1.091538189384808,K006_020,94,2,自宅スクールで生徒である友人と講座について相談,用談・相談,職場,仕事,先生生徒,2017年
181,201,K006_020_2,2.271756807472583,-1.940288684126912,1.2115587181061072,K006_020,94,2,自宅スクールで生徒である友人と講座について相談,用談・相談,職場,仕事,先生生徒,2017年
182,204,K006_023_1,2.277558859658828,-1.6036134272896183,1.0285659998525332,K006_023,96,2,自宅で友人とお茶をしながら,雑談,自宅,付き合い,友人知人,2017年
183,205,K006_023_2,1.936976139834317,-1.7077599078191437,0.8049605319849442,K006_023,96,2,自宅で友人とお茶をしながら,雑談,自宅,付き合い,友人知人,2017年
184,206,K007_001_1,2.0527976751313983,-1.3800974377481052,0.8869556346489532,K007_001,97,2,飲食店で友人にグッズ制作の相談,用談・相談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年
185,207,K007_001_2,1.7042051976427506,-0.9393796132495577,0.4357360031940052,K007_001,97,2,飲食店で友人にグッズ制作の相談,用談・相談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年
186,208,K007_003_1,2.1754051477597707,-1.4213567678319885,0.922092160846151,K007_003,98,2,自宅でテレビ電話を通して恋人と雑談,雑談,自宅,休息,友人知人,2017年
187,209,K007_003_2,1.600066940993483,-0.7014716187806583,0.3553473940536504,K007_003,98,2,自宅でテレビ電話を通して恋人と雑談,雑談,自宅,休息,友人知人,2017年
188,210,K007_005_1,2.607095870190714,-2.373012160898035,1.7634637157932962,K007_005,99,2,大学で新人の同僚に業務の説明,用談・相談,職場,仕事,同僚,2017年
189,211,K007_005_2,1.421904223391762,-0.9594858306465298,0.3020067468212089,K007_005,99,2,大学で新人の同僚に業務の説明,用談・相談,職場,仕事,同僚,2017年
190,212,K007_006_1,2.178849002152968,-1.278257052911975,0.7244978818079297,K007_006,100,2,自宅で恋人と洗濯物をたたみながら,雑談,自宅,家事雑事,友人知人,2017年
191,213,K007_006_2,1.662403115574052,-0.6520245032123115,0.013562799179394,K007_006,100,2,自宅で恋人と洗濯物をたたみながら,雑談,自宅,家事雑事,友人知人,2017年
