,SessionID,Number,会話概要,形式,場所,活動,話者間の関係性,収録年
1,C001_002,2,友人宅で友人と雑談,雑談,室内_友人知人宅,休息,友人知人,2016年
2,C001_003,2,自宅で友人に仕事について相談,用談・相談,自宅,休息,友人知人,2016年
3,C001_004,2,飲食店で同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,同僚,2016年
4,C001_005,2,実家近くで母と散歩しながら,雑談,屋外,移動,家族,2016年
5,C001_006,2,実家近くで母と散歩しながら,雑談,屋外,移動,家族,2016年
7,C001_012,2,同僚宅で同僚と夕食を取りながら,雑談,室内_友人知人宅,食事・付き合い,同僚,2016年
8,C001_013,2,同僚宅で同僚と飲みながら,雑談,室内_友人知人宅,付き合い,同僚,2016年
9,C002_003,2,自宅で配偶者とテレビを見ながら朝食,雑談,自宅,食事,家族,2017年
10,C002_004,2,自宅で息子とお茶をしながら,雑談,自宅,休息,家族,2017年
11,C002_005,2,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2017年
14,C002_008,2,買い物のため息子と車で移動中,雑談,交通機関_車,移動,家族,2017年
15,C002_013,2,福祉施設の部屋で母と雑談,雑談,公共商業施設_医療福祉施設,休息,家族,2017年
16,C002_013,2,福祉施設の部屋で母と雑談,雑談,公共商業施設_医療福祉施設,休息,家族,2017年
19,C002_016,2,飲食店で姉と昼食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2017年
21,K001_004,2,飲食店で友人と雑談,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年
22,K001_008,2,飲食店で姉とお茶をしながら,雑談,公共商業施設_飲食店,食事・付き合い,家族,2016年
23,K001_009,2,友人と散歩しながら,雑談,屋外,移動・レジャー活動,友人知人,2016年
24,K001_010,2,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
25,K001_011,2,自宅で友人と電話で旅行の相談,用談・相談,自宅,その他,友人知人,2016年
27,K001_014,2,飲食店で友人と旅行の相談,用談・相談,公共商業施設_飲食店,食事・その他,友人知人,2016年
29,K001_017,2,飲食店で後輩と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
30,K001_019,2,自宅で妹と電話で雑談,雑談,自宅,休息,家族,2016年
31,K002_003,2,自営店舗で知人からマッサージを受けながら,雑談,職場,仕事・身の周りの用事,友人知人,2016年
32,K002_003,2,自営店舗で知人からマッサージを受けながら,雑談,職場,仕事・身の周りの用事,友人知人,2016年
33,K002_004,2,自営店舗で仕事関係者と仕事の打合せ,用談・相談,職場,仕事,仕事関係,2016年
34,K002_007,2,自宅で娘とスケジュールを確認しながら,用談・相談,自宅,家事雑事,家族,2016年
35,K002_010,2,飲食店で友人と仕事の打合せ,用談・相談,公共商業施設_飲食店,食事・仕事,友人知人,2016年
36,K002_012,2,自営店舗で友人と雑談,雑談,職場,付き合い,友人知人,2016年
39,K002_016,2,宿泊施設のロビーで友人と雑談,雑談,公共商業施設_宿泊施設,休息,友人知人,2016年
42,K003_002,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
43,K003_002,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
44,K003_002,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
45,K003_002,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
46,K003_003,2,母の店舗で母と店番をしながら,雑談,職場,休息,家族,2016年
47,K003_005,2,花火大会の会場で友人と雑談,用談・相談,屋外,レジャー活動,友人知人,2016年
48,K003_006,2,大学で友人と実験計画について相談,用談・相談,学校,食事・学業,友人知人,2016年
49,K003_008,2,飲食店で友人とお茶をしながら,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年
50,K003_012,2,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
51,K003_012,2,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
54,K003_017,2,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年
55,K004_001,2,自宅で母にお礼の電話,雑談,自宅,付き合い,家族,2017年
56,K004_005,2,グラウンドで息子のサッカーの応援をしながら,雑談,屋外,レジャー活動,友人知人,2017年
57,K004_007,2,自宅で息子と椅子の座面の貼り替え,用談・相談,自宅,家事雑事,家族,2017年
60,K004_011,2,自宅で息子とお菓子作り,用談・相談,自宅,家事雑事,家族,2017年
68,K005_002,2,自宅で友人と料理をしながら,雑談,自宅,家事雑事,友人知人,2017年
70,K005_005,2,イベントスペースで友人にほうとう作りの相談,用談・相談,職場,その他,友人知人,2017年
71,K005_006,2,福祉施設の部屋で祖母と昼食を取りながら,雑談,公共商業施設_医療福祉施設,食事,家族,2017年
73,K005_016,2,自宅で友人と昼食について相談,用談・相談,自宅,その他,友人知人,2017年
74,K005_019,2,実家でおじと電話で雑談,雑談,室内_実家,付き合い,親戚,2017年
75,K005_019,2,実家でおじと電話で雑談,雑談,室内_実家,付き合い,親戚,2017年
76,K005_020,2,実家で父とワークショップの準備をしながら,用談・相談,室内_実家,仕事・その他,家族,2017年
78,K005_024,2,移動中に母に電話で買い物の相談,用談・相談,屋外,家事雑事,家族,2017年
79,K005_027,2,友人宅でパタンナーの友人にヘアバンド製作の相談,用談・相談,室内_友人知人宅,その他,仕事関係,2017年
80,K005_028,2,味噌工房で友人と味噌作りをしながら,雑談,職場_相手の職場,付き合い・仕事,友人知人,2017年
81,K005_031,2,福祉作業所で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2017年
82,K005_033,2,自宅で友人と電話で品物受け渡しの相談,用談・相談,自宅,仕事,友人知人,2017年
83,K006_002,2,自宅で配偶者と朝食を取りながら,雑談,自宅,食事,家族,2017年
84,K006_002,2,自宅で配偶者と朝食を取りながら,雑談,自宅,食事,家族,2017年
85,K006_003,2,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年
86,K006_003,2,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年
87,K006_006,2,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2017年
88,K006_009,2,自宅スクールで仕事関係者とお茶をしながら,雑談,職場,食事・付き合い,仕事関係,2017年
89,K006_011,2,レンタルスペースで娘と仕事の相談,用談・相談,職場,仕事,家族,2017年
90,K006_013,2,海岸で配偶者と犬の散歩をしながら,雑談,屋外,家事雑事・移動,家族,2017年
91,K006_016,2,自宅で友人と電話で出産祝いについて相談,用談・相談,自宅,付き合い,友人知人,2017年
93,K006_018,2,自宅スクールで仕事関係者とお茶をしながら,雑談,職場,付き合い,仕事関係,2017年
94,K006_020,2,自宅スクールで生徒である友人と講座について相談,用談・相談,職場,仕事,先生生徒,2017年
96,K006_023,2,自宅で友人とお茶をしながら,雑談,自宅,付き合い,友人知人,2017年
97,K007_001,2,飲食店で友人にグッズ制作の相談,用談・相談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年
98,K007_003,2,自宅でテレビ電話を通して恋人と雑談,雑談,自宅,休息,友人知人,2017年
99,K007_005,2,大学で新人の同僚に業務の説明,用談・相談,職場,仕事,同僚,2017年
100,K007_006,2,自宅で恋人と洗濯物をたたみながら,雑談,自宅,家事雑事,友人知人,2017年
101,K007_007,2,大学で新人の同僚と授業企画の打合せ,会議・会合,職場,仕事,同僚,2017年
102,K007_008,2,自宅で友人と共同プロジェクトの相談,用談・相談,自宅,仕事,仕事関係,2017年
103,K007_013,2,自宅で恋人と部屋を片付けながら,雑談,自宅,家事雑事,友人知人,2017年
104,K007_014,2,自宅で恋人と料理しながら,雑談,自宅,家事雑事,友人知人,2017年
105,K007_015,2,自宅で恋人と料理および夕食,雑談,自宅,食事・家事雑事,友人知人,2017年
106,K007_016,2,大学で同僚と雑談,雑談,職場,休息,同僚,2017年
107,K007_017,2,自宅で恋人とテーブルゲームをしながら,雑談,自宅,レジャー活動,友人知人,2017年
110,K007_020,2,大学で学生から仕事の相談,用談・相談,職場,仕事・学業,先生生徒,2017年
112,K008_002,2,福祉施設の部屋で義母と雑談,雑談,公共商業施設_医療福祉施設,休息,家族,2017年
113,K008_003,2,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年
114,K008_004,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2017年
115,K008_004,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2017年
116,K008_005,2,実家で母と料理,雑談,室内_実家,家事雑事,家族,2017年
117,K008_010,2,飲食店で友人と昼食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年
118,K008_013,2,近所の神社で配偶者と初詣,雑談,屋外,移動・レジャー活動,家族,2018年
119,K008_015,2,飲食店で知人と昼食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2018年
120,K008_016,2,飲食店で友人と昼食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2018年
125,K009_007,2,飲食店で友人と昼食後に雑談,雑談,公共商業施設_飲食店,付き合い,友人知人,2018年
131,K009_014,2,会社の作業場で部下と仕事をしながら,用談・相談,職場,仕事,同僚,2018年
136,K010_003,2,自宅で友人と電話で仕事の相談,用談・相談,自宅,仕事,友人知人,2018年
137,K010_003,2,自宅で友人と電話で仕事の相談,用談・相談,自宅,仕事,友人知人,2018年
138,K010_004,2,自宅で知人と電話で仕事の相談,用談・相談,自宅,仕事,友人知人,2018年
139,K010_004,2,自宅で知人と電話で仕事の相談,用談・相談,自宅,仕事,友人知人,2018年
140,K010_005,2,店舗で知人にビジネスの相談,用談・相談,職場_相手の職場,仕事,友人知人,2018年
141,K010_005,2,店舗で知人にビジネスの相談,用談・相談,職場_相手の職場,仕事,友人知人,2018年
142,K010_006,2,飲食店で友人と雑談,雑談,公共商業施設_飲食店,付き合い,友人知人,2018年
143,K010_008,2,オフィスで弟に保証人の依頼,用談・相談,職場_相手の職場,家事雑事,家族,2018年
144,K010_011,2,店で友人たちと雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年
146,K010_013,2,駐車場に止めた車内で友人と雑談,雑談,交通機関_車,付き合い,友人知人,2018年
147,K010_013,2,駐車場に止めた車内で友人と雑談,雑談,交通機関_車,付き合い,友人知人,2018年
150,K010_017,2,家の近所で配偶者と犬の散歩をしながら,雑談,屋外,家事雑事・移動,家族,2018年
153,K011_005,2,カラオケボックスで友達の友達に爪磨きのレッスン,授業・レッスン,公共商業施設_商業施設,レジャー活動,サービス場面関係,2018年
155,K011_009,2,友人と車で移動中,雑談,交通機関_車,移動,友人知人,2018年
156,K011_009,2,友人と車で移動中,雑談,交通機関_車,移動,友人知人,2018年
161,K012_001,2,研究機関で知人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年
162,K012_002,2,研究機関で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年
163,K012_002,2,研究機関で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年
164,K012_002,2,研究機関で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年
165,K012_002,2,研究機関で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年
166,K012_003,2,自宅で息子と遊び配偶者と雑談,雑談,自宅,家事雑事・レジャー活動,家族,2018年
167,K012_003,2,自宅で息子と遊び配偶者と雑談,雑談,自宅,家事雑事・レジャー活動,家族,2018年
169,K012_006,2,自宅で息子と遊びながら,雑談,自宅,家事雑事・レジャー活動,家族,2019年
170,K012_007,2,自宅で息子と遊びながら,雑談,自宅,家事雑事・レジャー活動,家族,2019年
171,K012_007,2,自宅で息子と遊びながら,雑談,自宅,家事雑事・レジャー活動,家族,2019年
173,K013_004,2,恋人の家で恋人と夕食を取りながら,雑談,室内_友人知人宅,食事・付き合い,友人知人,2018年
176,K013_012,2,自宅で恋人と旅行について相談,用談・相談,自宅,食事・その他,友人知人,2019年
177,K013_017,2,恋人の家で恋人と旅行について相談,用談・相談,室内_友人知人宅,その他,友人知人,2019年
178,K013_019,2,実家で祖母と雑談,雑談,室内_実家,休息,家族,2019年
182,S001_011,2,自宅で配偶者と料理をしながら,雑談,自宅,家事雑事,家族,2017年
184,S001_013,2,自宅で配偶者と家事雑事をしながら,雑談,自宅,家事雑事,家族,2017年
192,S002_005,2,飲食店で取引先の方と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,仕事関係,2017年
198,S002_012,2,飲食店で友人と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年
199,S002_014,2,友人宅で友人と飲みながら,雑談,室内_友人知人宅,食事・付き合い,友人知人,2017年
200,T001_002,2,自宅で配偶者と棚の組み立て,用談・相談,自宅,家事雑事,家族,2016年
201,T001_003,2,飲食店で元同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,元同僚,2016年
202,T001_005,2,飲食店で後輩と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
203,T001_007,2,自宅で配偶者と母の日のプレゼント選び,用談・相談,自宅,家事雑事,家族,2016年
204,T001_008,2,飲食店で元同僚と昼食後の雑談,雑談,公共商業施設_飲食店,付き合い,元同僚,2016年
208,T001_015,2,飲食店で後輩と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
209,T001_016,2,飲食店で元同僚と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,元同僚,2016年
212,T002_011,2,飲食店で友人とイベントの打合せ,用談・相談,公共商業施設_飲食店,仕事,友人知人,2016年
213,T002_011,2,飲食店で友人とイベントの打合せ,用談・相談,公共商業施設_飲食店,仕事,友人知人,2016年
214,T002_011,2,飲食店で友人とイベントの打合せ,用談・相談,公共商業施設_飲食店,仕事,友人知人,2016年
215,T002_012,2,飲食店で母と雑談,雑談,公共商業施設_飲食店,休息,家族,2016年
216,T002_013,2,飲食店で仕事関係者と夕食および打合せ,用談・相談,公共商業施設_飲食店,食事・仕事,仕事関係,2016年
218,T002_015,2,飲食店で先輩と昼食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年
219,T002_018,2,飲食店で配偶者と昼食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2016年
