,Name,Question,Scores
0,,Q1_1,3
1,,Q1_2,5
2,,Q1_3,3
3,,Q2_1,4
4,,Q2_2,5
5,,Q2_3,4
6,,Q3_1,3
7,,Q3_2,5
8,,Q3_3,4
9,,Q4_1,5
10,,Q4_2,3
11,,Q4_3,6
12,,Q5_1,5
13,,Q5_2,5
14,,Q5_3,3
15,,Q6_1,4
16,,Q6_2,4
17,,Q6_3,3
18,,Q7_1,2
19,,Q7_2,5
20,,Q7_3,3
21,,Q8_1,4
22,,Q8_2,4
23,,Q8_3,3
24,,Q9_1,3
25,,Q9_2,5
26,,Q9_3,3
27,,Q10_1,4
28,,Q10_2,3
29,,Q10_3,3
30,,Q11_1,5
31,,Q11_2,5
32,,Q11_3,3
33,,Q12_1,5
34,,Q12_2,4
35,,Q12_3,3
36,,Q13_1,5
37,,Q13_2,5
38,,Q13_3,4
39,,Q14_1,5
40,,Q14_2,4
41,,Q14_3,3
42,,Q15_1,5
43,,Q15_2,5
44,,Q15_3,3
45,,Q16_1,4
46,,Q16_2,4
47,,Q16_3,3
48,,Q17_1,4
49,,Q17_2,4
50,,Q17_3,5
51,,Q18_1,2
52,,Q18_2,4
53,,Q18_3,4
54,,Q19_1,4
55,,Q19_2,5
56,,Q19_3,4
57,,Q20_1,5
58,,Q20_2,5
59,,Q20_3,3
60,,Q181_1,3
61,,Q181_2,5
62,,Q181_3,2
63,,Q182_1,4
64,,Q182_2,5
65,,Q182_3,3
66,,Q183_1,6
67,,Q183_2,5
68,,Q183_3,4
69,,Q184_1,5
70,,Q184_2,4
71,,Q184_3,4
72,,Q185_1,4
73,,Q185_2,4
74,,Q185_3,3
75,,Q186_1,4
76,,Q186_2,5
77,,Q186_3,4
78,,Q187_1,2
79,,Q187_2,3
80,,Q187_3,3
81,,Q188_1,5
82,,Q188_2,4
83,,Q188_3,4
84,,Q189_1,4
85,,Q189_2,4
86,,Q189_3,3
87,,Q190_1,3
88,,Q190_2,3
89,,Q190_3,3
90,,Q191_1,2
91,,Q191_2,6
92,,Q191_3,1
93,,Q192_1,4
94,,Q192_2,3
95,,Q192_3,3
96,,Q193_1,3
97,,Q193_2,4
98,,Q193_3,3
99,,Q194_1,3
100,,Q194_2,4
101,,Q194_3,3
102,,Q195_1,4
103,,Q195_2,3
104,,Q195_3,3
105,,Q196_1,3
106,,Q196_2,6
107,,Q196_3,7
108,,Q197_1,5
109,,Q197_2,6
110,,Q197_3,3
111,,Q198_1,2
112,,Q198_2,3
113,,Q198_3,3
114,,Q199_1,3
115,,Q199_2,3
116,,Q199_3,3
117,,Q200_1,4
118,,Q200_2,4
119,,Q200_3,3
120,mitubati555,Q1_1,4
121,mitubati555,Q1_2,6
122,mitubati555,Q1_3,3
123,mitubati555,Q2_1,4
124,mitubati555,Q2_2,5
125,mitubati555,Q2_3,3
126,mitubati555,Q3_1,4
127,mitubati555,Q3_2,6
128,mitubati555,Q3_3,3
129,mitubati555,Q4_1,4
130,mitubati555,Q4_2,5
131,mitubati555,Q4_3,5
132,mitubati555,Q5_1,5
133,mitubati555,Q5_2,6
134,mitubati555,Q5_3,4
135,mitubati555,Q6_1,5
136,mitubati555,Q6_2,6
137,mitubati555,Q6_3,3
138,mitubati555,Q7_1,5
139,mitubati555,Q7_2,6
140,mitubati555,Q7_3,5
141,mitubati555,Q8_1,5
142,mitubati555,Q8_2,6
143,mitubati555,Q8_3,4
144,mitubati555,Q9_1,6
145,mitubati555,Q9_2,5
146,mitubati555,Q9_3,3
147,mitubati555,Q10_1,5
148,mitubati555,Q10_2,6
149,mitubati555,Q10_3,3
150,mitubati555,Q11_1,5
151,mitubati555,Q11_2,6
152,mitubati555,Q11_3,3
153,mitubati555,Q12_1,5
154,mitubati555,Q12_2,4
155,mitubati555,Q12_3,6
156,mitubati555,Q13_1,5
157,mitubati555,Q13_2,5
158,mitubati555,Q13_3,4
159,mitubati555,Q14_1,6
160,mitubati555,Q14_2,7
161,mitubati555,Q14_3,4
162,mitubati555,Q15_1,4
163,mitubati555,Q15_2,5
164,mitubati555,Q15_3,3
165,mitubati555,Q16_1,5
166,mitubati555,Q16_2,7
167,mitubati555,Q16_3,2
168,mitubati555,Q17_1,4
169,mitubati555,Q17_2,6
170,mitubati555,Q17_3,3
171,mitubati555,Q18_1,4
172,mitubati555,Q18_2,5
173,mitubati555,Q18_3,2
174,mitubati555,Q19_1,4
175,mitubati555,Q19_2,5
176,mitubati555,Q19_3,3
177,mitubati555,Q20_1,5
178,mitubati555,Q20_2,4
179,mitubati555,Q20_3,4
180,mitubati555,Q181_1,3
181,mitubati555,Q181_2,5
182,mitubati555,Q181_3,2
183,mitubati555,Q182_1,6
184,mitubati555,Q182_2,6
185,mitubati555,Q182_3,4
186,mitubati555,Q183_1,5
187,mitubati555,Q183_2,4
188,mitubati555,Q183_3,2
189,mitubati555,Q184_1,4
190,mitubati555,Q184_2,3
191,mitubati555,Q184_3,3
192,mitubati555,Q185_1,6
193,mitubati555,Q185_2,4
194,mitubati555,Q185_3,3
195,mitubati555,Q186_1,4
196,mitubati555,Q186_2,3
197,mitubati555,Q186_3,2
198,mitubati555,Q187_1,4
199,mitubati555,Q187_2,5
200,mitubati555,Q187_3,2
201,mitubati555,Q188_1,5
202,mitubati555,Q188_2,6
203,mitubati555,Q188_3,5
204,mitubati555,Q189_1,3
205,mitubati555,Q189_2,2
206,mitubati555,Q189_3,2
207,mitubati555,Q190_1,6
208,mitubati555,Q190_2,6
209,mitubati555,Q190_3,5
210,mitubati555,Q191_1,6
211,mitubati555,Q191_2,6
212,mitubati555,Q191_3,3
213,mitubati555,Q192_1,5
214,mitubati555,Q192_2,4
215,mitubati555,Q192_3,4
216,mitubati555,Q193_1,4
217,mitubati555,Q193_2,3
218,mitubati555,Q193_3,2
219,mitubati555,Q194_1,3
220,mitubati555,Q194_2,3
221,mitubati555,Q194_3,1
222,mitubati555,Q195_1,7
223,mitubati555,Q195_2,6
224,mitubati555,Q195_3,3
225,mitubati555,Q196_1,3
226,mitubati555,Q196_2,5
227,mitubati555,Q196_3,2
228,mitubati555,Q197_1,3
229,mitubati555,Q197_2,4
230,mitubati555,Q197_3,1
231,mitubati555,Q198_1,3
232,mitubati555,Q198_2,4
233,mitubati555,Q198_3,3
234,mitubati555,Q199_1,3
235,mitubati555,Q199_2,4
236,mitubati555,Q199_3,4
237,mitubati555,Q200_1,5
238,mitubati555,Q200_2,5
239,mitubati555,Q200_3,3
240,kumiko0402,Q1_1,6
241,kumiko0402,Q1_2,6
242,kumiko0402,Q1_3,3
243,kumiko0402,Q2_1,4
244,kumiko0402,Q2_2,6
245,kumiko0402,Q2_3,3
246,kumiko0402,Q3_1,3
247,kumiko0402,Q3_2,5
248,kumiko0402,Q3_3,5
249,kumiko0402,Q4_1,5
250,kumiko0402,Q4_2,5
251,kumiko0402,Q4_3,2
252,kumiko0402,Q5_1,4
253,kumiko0402,Q5_2,5
254,kumiko0402,Q5_3,4
255,kumiko0402,Q6_1,4
256,kumiko0402,Q6_2,5
257,kumiko0402,Q6_3,3
258,kumiko0402,Q7_1,4
259,kumiko0402,Q7_2,5
260,kumiko0402,Q7_3,4
261,kumiko0402,Q8_1,3
262,kumiko0402,Q8_2,6
263,kumiko0402,Q8_3,3
264,kumiko0402,Q9_1,2
265,kumiko0402,Q9_2,5
266,kumiko0402,Q9_3,3
267,kumiko0402,Q10_1,7
268,kumiko0402,Q10_2,6
269,kumiko0402,Q10_3,3
270,kumiko0402,Q11_1,6
271,kumiko0402,Q11_2,6
272,kumiko0402,Q11_3,4
273,kumiko0402,Q12_1,6
274,kumiko0402,Q12_2,5
275,kumiko0402,Q12_3,3
276,kumiko0402,Q13_1,5
277,kumiko0402,Q13_2,6
278,kumiko0402,Q13_3,5
279,kumiko0402,Q14_1,5
280,kumiko0402,Q14_2,6
281,kumiko0402,Q14_3,5
282,kumiko0402,Q15_1,5
283,kumiko0402,Q15_2,5
284,kumiko0402,Q15_3,5
285,kumiko0402,Q16_1,6
286,kumiko0402,Q16_2,7
287,kumiko0402,Q16_3,3
288,kumiko0402,Q17_1,4
289,kumiko0402,Q17_2,5
290,kumiko0402,Q17_3,3
291,kumiko0402,Q18_1,3
292,kumiko0402,Q18_2,6
293,kumiko0402,Q18_3,2
294,kumiko0402,Q19_1,3
295,kumiko0402,Q19_2,5
296,kumiko0402,Q19_3,4
297,kumiko0402,Q20_1,1
298,kumiko0402,Q20_2,5
299,kumiko0402,Q20_3,1
300,kumiko0402,Q181_1,5
301,kumiko0402,Q181_2,5
302,kumiko0402,Q181_3,4
303,kumiko0402,Q182_1,5
304,kumiko0402,Q182_2,5
305,kumiko0402,Q182_3,2
306,kumiko0402,Q183_1,6
307,kumiko0402,Q183_2,6
308,kumiko0402,Q183_3,5
309,kumiko0402,Q184_1,5
310,kumiko0402,Q184_2,4
311,kumiko0402,Q184_3,4
312,kumiko0402,Q185_1,6
313,kumiko0402,Q185_2,1
314,kumiko0402,Q185_3,5
315,kumiko0402,Q186_1,3
316,kumiko0402,Q186_2,6
317,kumiko0402,Q186_3,5
318,kumiko0402,Q187_1,5
319,kumiko0402,Q187_2,6
320,kumiko0402,Q187_3,3
321,kumiko0402,Q188_1,5
322,kumiko0402,Q188_2,6
323,kumiko0402,Q188_3,5
324,kumiko0402,Q189_1,1
325,kumiko0402,Q189_2,3
326,kumiko0402,Q189_3,3
327,kumiko0402,Q190_1,5
328,kumiko0402,Q190_2,4
329,kumiko0402,Q190_3,5
330,kumiko0402,Q191_1,5
331,kumiko0402,Q191_2,5
332,kumiko0402,Q191_3,2
333,kumiko0402,Q192_1,5
334,kumiko0402,Q192_2,4
335,kumiko0402,Q192_3,6
336,kumiko0402,Q193_1,3
337,kumiko0402,Q193_2,1
338,kumiko0402,Q193_3,5
339,kumiko0402,Q194_1,4
340,kumiko0402,Q194_2,5
341,kumiko0402,Q194_3,4
342,kumiko0402,Q195_1,5
343,kumiko0402,Q195_2,5
344,kumiko0402,Q195_3,4
345,kumiko0402,Q196_1,3
346,kumiko0402,Q196_2,5
347,kumiko0402,Q196_3,4
348,kumiko0402,Q197_1,3
349,kumiko0402,Q197_2,4
350,kumiko0402,Q197_3,4
351,kumiko0402,Q198_1,2
352,kumiko0402,Q198_2,6
353,kumiko0402,Q198_3,3
354,kumiko0402,Q199_1,4
355,kumiko0402,Q199_2,5
356,kumiko0402,Q199_3,6
357,kumiko0402,Q200_1,5
358,kumiko0402,Q200_2,5
359,kumiko0402,Q200_3,6
360,matosa3,Q1_1,5
361,matosa3,Q1_2,6
362,matosa3,Q1_3,4
363,matosa3,Q2_1,5
364,matosa3,Q2_2,5
365,matosa3,Q2_3,4
366,matosa3,Q3_1,5
367,matosa3,Q3_2,5
368,matosa3,Q3_3,4
369,matosa3,Q4_1,4
370,matosa3,Q4_2,5
371,matosa3,Q4_3,4
372,matosa3,Q5_1,5
373,matosa3,Q5_2,5
374,matosa3,Q5_3,4
375,matosa3,Q6_1,5
376,matosa3,Q6_2,5
377,matosa3,Q6_3,4
378,matosa3,Q7_1,4
379,matosa3,Q7_2,5
380,matosa3,Q7_3,3
381,matosa3,Q8_1,4
382,matosa3,Q8_2,5
383,matosa3,Q8_3,3
384,matosa3,Q9_1,5
385,matosa3,Q9_2,6
386,matosa3,Q9_3,3
387,matosa3,Q10_1,5
388,matosa3,Q10_2,4
389,matosa3,Q10_3,3
390,matosa3,Q11_1,6
391,matosa3,Q11_2,5
392,matosa3,Q11_3,4
393,matosa3,Q12_1,4
394,matosa3,Q12_2,4
395,matosa3,Q12_3,4
396,matosa3,Q13_1,5
397,matosa3,Q13_2,5
398,matosa3,Q13_3,4
399,matosa3,Q14_1,6
400,matosa3,Q14_2,5
401,matosa3,Q14_3,5
402,matosa3,Q15_1,4
403,matosa3,Q15_2,4
404,matosa3,Q15_3,3
405,matosa3,Q16_1,5
406,matosa3,Q16_2,5
407,matosa3,Q16_3,4
408,matosa3,Q17_1,3
409,matosa3,Q17_2,5
410,matosa3,Q17_3,2
411,matosa3,Q18_1,3
412,matosa3,Q18_2,5
413,matosa3,Q18_3,3
414,matosa3,Q19_1,5
415,matosa3,Q19_2,6
416,matosa3,Q19_3,4
417,matosa3,Q20_1,4
418,matosa3,Q20_2,4
419,matosa3,Q20_3,3
420,matosa3,Q181_1,5
421,matosa3,Q181_2,5
422,matosa3,Q181_3,4
423,matosa3,Q182_1,5
424,matosa3,Q182_2,5
425,matosa3,Q182_3,3
426,matosa3,Q183_1,6
427,matosa3,Q183_2,6
428,matosa3,Q183_3,4
429,matosa3,Q184_1,4
430,matosa3,Q184_2,4
431,matosa3,Q184_3,4
432,matosa3,Q185_1,4
433,matosa3,Q185_2,3
434,matosa3,Q185_3,4
435,matosa3,Q186_1,3
436,matosa3,Q186_2,5
437,matosa3,Q186_3,4
438,matosa3,Q187_1,3
439,matosa3,Q187_2,4
440,matosa3,Q187_3,3
441,matosa3,Q188_1,5
442,matosa3,Q188_2,5
443,matosa3,Q188_3,5
444,matosa3,Q189_1,3
445,matosa3,Q189_2,4
446,matosa3,Q189_3,4
447,matosa3,Q190_1,5
448,matosa3,Q190_2,3
449,matosa3,Q190_3,5
450,matosa3,Q191_1,5
451,matosa3,Q191_2,5
452,matosa3,Q191_3,3
453,matosa3,Q192_1,6
454,matosa3,Q192_2,5
455,matosa3,Q192_3,5
456,matosa3,Q193_1,2
457,matosa3,Q193_2,2
458,matosa3,Q193_3,2
459,matosa3,Q194_1,4
460,matosa3,Q194_2,4
461,matosa3,Q194_3,4
462,matosa3,Q195_1,5
463,matosa3,Q195_2,5
464,matosa3,Q195_3,4
465,matosa3,Q196_1,5
466,matosa3,Q196_2,3
467,matosa3,Q196_3,4
468,matosa3,Q197_1,4
469,matosa3,Q197_2,4
470,matosa3,Q197_3,3
471,matosa3,Q198_1,4
472,matosa3,Q198_2,5
473,matosa3,Q198_3,3
474,matosa3,Q199_1,4
475,matosa3,Q199_2,4
476,matosa3,Q199_3,5
477,matosa3,Q200_1,5
478,matosa3,Q200_2,5
479,matosa3,Q200_3,5
480,toge7188,Q1_1,6
481,toge7188,Q1_2,6
482,toge7188,Q1_3,6
483,toge7188,Q2_1,4
484,toge7188,Q2_2,5
485,toge7188,Q2_3,5
486,toge7188,Q3_1,4
487,toge7188,Q3_2,5
488,toge7188,Q3_3,5
489,toge7188,Q4_1,5
490,toge7188,Q4_2,6
491,toge7188,Q4_3,5
492,toge7188,Q5_1,4
493,toge7188,Q5_2,6
494,toge7188,Q5_3,4
495,toge7188,Q6_1,4
496,toge7188,Q6_2,6
497,toge7188,Q6_3,4
498,toge7188,Q7_1,3
499,toge7188,Q7_2,5
500,toge7188,Q7_3,5
501,toge7188,Q8_1,5
502,toge7188,Q8_2,6
503,toge7188,Q8_3,5
504,toge7188,Q9_1,5
505,toge7188,Q9_2,7
506,toge7188,Q9_3,5
507,toge7188,Q10_1,6
508,toge7188,Q10_2,6
509,toge7188,Q10_3,6
510,toge7188,Q11_1,5
511,toge7188,Q11_2,7
512,toge7188,Q11_3,6
513,toge7188,Q12_1,6
514,toge7188,Q12_2,6
515,toge7188,Q12_3,6
516,toge7188,Q13_1,5
517,toge7188,Q13_2,6
518,toge7188,Q13_3,6
519,toge7188,Q14_1,5
520,toge7188,Q14_2,6
521,toge7188,Q14_3,6
522,toge7188,Q15_1,5
523,toge7188,Q15_2,5
524,toge7188,Q15_3,6
525,toge7188,Q16_1,4
526,toge7188,Q16_2,7
527,toge7188,Q16_3,5
528,toge7188,Q17_1,4
529,toge7188,Q17_2,5
530,toge7188,Q17_3,4
531,toge7188,Q18_1,5
532,toge7188,Q18_2,7
533,toge7188,Q18_3,6
534,toge7188,Q19_1,6
535,toge7188,Q19_2,6
536,toge7188,Q19_3,5
537,toge7188,Q20_1,4
538,toge7188,Q20_2,6
539,toge7188,Q20_3,4
540,toge7188,Q181_1,5
541,toge7188,Q181_2,6
542,toge7188,Q181_3,6
543,toge7188,Q182_1,5
544,toge7188,Q182_2,6
545,toge7188,Q182_3,6
546,toge7188,Q183_1,6
547,toge7188,Q183_2,6
548,toge7188,Q183_3,6
549,toge7188,Q184_1,6
550,toge7188,Q184_2,5
551,toge7188,Q184_3,6
552,toge7188,Q185_1,5
553,toge7188,Q185_2,4
554,toge7188,Q185_3,5
555,toge7188,Q186_1,4
556,toge7188,Q186_2,5
557,toge7188,Q186_3,5
558,toge7188,Q187_1,5
559,toge7188,Q187_2,4
560,toge7188,Q187_3,5
561,toge7188,Q188_1,5
562,toge7188,Q188_2,5
563,toge7188,Q188_3,5
564,toge7188,Q189_1,4
565,toge7188,Q189_2,4
566,toge7188,Q189_3,4
567,toge7188,Q190_1,4
568,toge7188,Q190_2,5
569,toge7188,Q190_3,4
570,toge7188,Q191_1,4
571,toge7188,Q191_2,6
572,toge7188,Q191_3,4
573,toge7188,Q192_1,5
574,toge7188,Q192_2,2
575,toge7188,Q192_3,4
576,toge7188,Q193_1,4
577,toge7188,Q193_2,5
578,toge7188,Q193_3,4
579,toge7188,Q194_1,4
580,toge7188,Q194_2,2
581,toge7188,Q194_3,2
582,toge7188,Q195_1,5
583,toge7188,Q195_2,4
584,toge7188,Q195_3,3
585,toge7188,Q196_1,4
586,toge7188,Q196_2,5
587,toge7188,Q196_3,3
588,toge7188,Q197_1,4
589,toge7188,Q197_2,4
590,toge7188,Q197_3,4
591,toge7188,Q198_1,2
592,toge7188,Q198_2,5
593,toge7188,Q198_3,2
594,toge7188,Q199_1,3
595,toge7188,Q199_2,2
596,toge7188,Q199_3,3
597,toge7188,Q200_1,5
598,toge7188,Q200_2,6
599,toge7188,Q200_3,5
600,fumygo,Q1_1,5
601,fumygo,Q1_2,6
602,fumygo,Q1_3,5
603,fumygo,Q2_1,5
604,fumygo,Q2_2,6
605,fumygo,Q2_3,5
606,fumygo,Q3_1,5
607,fumygo,Q3_2,6
608,fumygo,Q3_3,5
609,fumygo,Q4_1,5
610,fumygo,Q4_2,6
611,fumygo,Q4_3,5
612,fumygo,Q5_1,6
613,fumygo,Q5_2,7
614,fumygo,Q5_3,6
615,fumygo,Q6_1,5
616,fumygo,Q6_2,6
617,fumygo,Q6_3,5
618,fumygo,Q7_1,5
619,fumygo,Q7_2,6
620,fumygo,Q7_3,5
621,fumygo,Q8_1,5
622,fumygo,Q8_2,6
623,fumygo,Q8_3,5
624,fumygo,Q9_1,6
625,fumygo,Q9_2,7
626,fumygo,Q9_3,5
627,fumygo,Q10_1,6
628,fumygo,Q10_2,6
629,fumygo,Q10_3,5
630,fumygo,Q11_1,5
631,fumygo,Q11_2,6
632,fumygo,Q11_3,5
633,fumygo,Q12_1,6
634,fumygo,Q12_2,6
635,fumygo,Q12_3,5
636,fumygo,Q13_1,6
637,fumygo,Q13_2,6
638,fumygo,Q13_3,5
639,fumygo,Q14_1,5
640,fumygo,Q14_2,5
641,fumygo,Q14_3,4
642,fumygo,Q15_1,6
643,fumygo,Q15_2,6
644,fumygo,Q15_3,5
645,fumygo,Q16_1,5
646,fumygo,Q16_2,6
647,fumygo,Q16_3,5
648,fumygo,Q17_1,5
649,fumygo,Q17_2,7
650,fumygo,Q17_3,5
651,fumygo,Q18_1,6
652,fumygo,Q18_2,6
653,fumygo,Q18_3,5
654,fumygo,Q19_1,6
655,fumygo,Q19_2,7
656,fumygo,Q19_3,6
657,fumygo,Q20_1,5
658,fumygo,Q20_2,6
659,fumygo,Q20_3,5
660,fumygo,Q181_1,5
661,fumygo,Q181_2,6
662,fumygo,Q181_3,5
663,fumygo,Q182_1,6
664,fumygo,Q182_2,6
665,fumygo,Q182_3,5
666,fumygo,Q183_1,5
667,fumygo,Q183_2,7
668,fumygo,Q183_3,5
669,fumygo,Q184_1,6
670,fumygo,Q184_2,6
671,fumygo,Q184_3,5
672,fumygo,Q185_1,6
673,fumygo,Q185_2,6
674,fumygo,Q185_3,5
675,fumygo,Q186_1,5
676,fumygo,Q186_2,6
677,fumygo,Q186_3,5
678,fumygo,Q187_1,4
679,fumygo,Q187_2,6
680,fumygo,Q187_3,5
681,fumygo,Q188_1,6
682,fumygo,Q188_2,6
683,fumygo,Q188_3,5
684,fumygo,Q189_1,5
685,fumygo,Q189_2,6
686,fumygo,Q189_3,5
687,fumygo,Q190_1,4
688,fumygo,Q190_2,5
689,fumygo,Q190_3,5
690,fumygo,Q191_1,6
691,fumygo,Q191_2,6
692,fumygo,Q191_3,5
693,fumygo,Q192_1,6
694,fumygo,Q192_2,4
695,fumygo,Q192_3,5
696,fumygo,Q193_1,5
697,fumygo,Q193_2,4
698,fumygo,Q193_3,4
699,fumygo,Q194_1,5
700,fumygo,Q194_2,4
701,fumygo,Q194_3,5
702,fumygo,Q195_1,7
703,fumygo,Q195_2,6
704,fumygo,Q195_3,4
705,fumygo,Q196_1,5
706,fumygo,Q196_2,5
707,fumygo,Q196_3,5
708,fumygo,Q197_1,6
709,fumygo,Q197_2,6
710,fumygo,Q197_3,4
711,fumygo,Q198_1,3
712,fumygo,Q198_2,5
713,fumygo,Q198_3,4
714,fumygo,Q199_1,6
715,fumygo,Q199_2,4
716,fumygo,Q199_3,5
717,fumygo,Q200_1,5
718,fumygo,Q200_2,6
719,fumygo,Q200_3,5
720,rag_55,Q1_1,5
721,rag_55,Q1_2,7
722,rag_55,Q1_3,2
723,rag_55,Q2_1,4
724,rag_55,Q2_2,6
725,rag_55,Q2_3,3
726,rag_55,Q3_1,4
727,rag_55,Q3_2,6
728,rag_55,Q3_3,3
729,rag_55,Q4_1,4
730,rag_55,Q4_2,3
731,rag_55,Q4_3,5
732,rag_55,Q5_1,6
733,rag_55,Q5_2,6
734,rag_55,Q5_3,4
735,rag_55,Q6_1,5
736,rag_55,Q6_2,6
737,rag_55,Q6_3,3
738,rag_55,Q7_1,3
739,rag_55,Q7_2,6
740,rag_55,Q7_3,3
741,rag_55,Q8_1,4
742,rag_55,Q8_2,6
743,rag_55,Q8_3,4
744,rag_55,Q9_1,5
745,rag_55,Q9_2,5
746,rag_55,Q9_3,3
747,rag_55,Q10_1,4
748,rag_55,Q10_2,5
749,rag_55,Q10_3,4
750,rag_55,Q11_1,6
751,rag_55,Q11_2,7
752,rag_55,Q11_3,3
753,rag_55,Q12_1,5
754,rag_55,Q12_2,5
755,rag_55,Q12_3,5
756,rag_55,Q13_1,6
757,rag_55,Q13_2,6
758,rag_55,Q13_3,4
759,rag_55,Q14_1,5
760,rag_55,Q14_2,5
761,rag_55,Q14_3,4
762,rag_55,Q15_1,5
763,rag_55,Q15_2,6
764,rag_55,Q15_3,3
765,rag_55,Q16_1,4
766,rag_55,Q16_2,6
767,rag_55,Q16_3,3
768,rag_55,Q17_1,4
769,rag_55,Q17_2,6
770,rag_55,Q17_3,3
771,rag_55,Q18_1,5
772,rag_55,Q18_2,6
773,rag_55,Q18_3,4
774,rag_55,Q19_1,5
775,rag_55,Q19_2,6
776,rag_55,Q19_3,4
777,rag_55,Q20_1,4
778,rag_55,Q20_2,5
779,rag_55,Q20_3,4
780,rag_55,Q181_1,5
781,rag_55,Q181_2,6
782,rag_55,Q181_3,3
783,rag_55,Q182_1,4
784,rag_55,Q182_2,5
785,rag_55,Q182_3,4
786,rag_55,Q183_1,7
787,rag_55,Q183_2,7
788,rag_55,Q183_3,3
789,rag_55,Q184_1,5
790,rag_55,Q184_2,3
791,rag_55,Q184_3,4
792,rag_55,Q185_1,5
793,rag_55,Q185_2,5
794,rag_55,Q185_3,4
795,rag_55,Q186_1,2
796,rag_55,Q186_2,6
797,rag_55,Q186_3,5
798,rag_55,Q187_1,5
799,rag_55,Q187_2,3
800,rag_55,Q187_3,4
801,rag_55,Q188_1,6
802,rag_55,Q188_2,5
803,rag_55,Q188_3,5
804,rag_55,Q189_1,3
805,rag_55,Q189_2,6
806,rag_55,Q189_3,4
807,rag_55,Q190_1,4
808,rag_55,Q190_2,6
809,rag_55,Q190_3,4
810,rag_55,Q191_1,5
811,rag_55,Q191_2,6
812,rag_55,Q191_3,3
813,rag_55,Q192_1,5
814,rag_55,Q192_2,3
815,rag_55,Q192_3,5
816,rag_55,Q193_1,4
817,rag_55,Q193_2,5
818,rag_55,Q193_3,4
819,rag_55,Q194_1,4
820,rag_55,Q194_2,4
821,rag_55,Q194_3,3
822,rag_55,Q195_1,5
823,rag_55,Q195_2,6
824,rag_55,Q195_3,2
825,rag_55,Q196_1,3
826,rag_55,Q196_2,4
827,rag_55,Q196_3,3
828,rag_55,Q197_1,5
829,rag_55,Q197_2,6
830,rag_55,Q197_3,3
831,rag_55,Q198_1,3
