,,mitubati555,kumiko0402,matosa3,toge7188,fumygo,rag_55,yutapon1967,minshle,yoimachigusa,a0508,Weetabix,ma20020607 ,from201905,とんとん囃�,Ralphy,itu1,mirin036,perimakko37,ISHICN,ranbt2943,adagietto,kamihamuroabu,109960,mikalemon,sr15,daizu810,摩天楼さ�,soshisoyamama,heidi1001,rssk,����N
Q1_1,3,4,6,5,6,5,5,5,6,7,5,3,6,5,6,5,5,5,5,4,5,6,6,6,5,6,5,5,5,2,4,4
Q2_1,4,4,4,5,4,5,4,5,4,7,5,5,4,4,7,4,3,5,7,4,5,5,4,5,6,5,6,5,4,5,4,4
Q3_1,3,4,3,5,4,5,4,4,3,6,5,5,5,4,6,2,5,5,4,4,4,6,4,6,5,3,6,4,5,5,4,5
Q4_1,5,4,5,4,5,5,4,5,3,7,4,6,5,5,7,3,6,6,4,4,5,6,5,6,5,7,6,5,5,6,4,5
Q5_1,5,5,4,5,4,6,6,7,2,7,5,7,4,5,7,5,5,3,4,4,6,6,5,7,6,3,5,5,4,6,4,5
Q6_1,4,5,4,5,4,5,5,5,4,2,5,4,5,4,6,4,5,5,4,3,5,6,5,6,5,5,6,4,4,3,5,5
Q7_1,2,5,4,4,3,5,3,4,3,6,4,5,3,4,6,2,5,6,3,4,4,5,5,5,6,3,6,3,4,5,4,3
Q8_1,4,5,3,4,5,5,4,5,3,5,5,2,4,5,7,5,5,5,4,4,5,6,5,6,5,5,6,4,4,5,5,5
Q9_1,3,6,2,5,5,6,5,6,4,4,5,4,5,4,5,5,2,6,5,4,5,6,5,5,5,3,5,5,5,4,5,5
Q10_1,4,5,7,5,6,6,4,5,5,7,5,6,6,5,7,5,6,6,5,4,6,6,6,7,7,6,7,6,6,6,5,6
Q11_1,5,5,6,6,5,5,6,5,3,7,6,7,6,5,7,6,6,7,5,5,6,6,4,7,6,5,6,5,5,6,5,6
Q12_1,5,5,6,4,6,6,5,6,6,6,5,6,6,5,7,7,5,5,5,5,5,6,5,6,6,6,6,6,6,6,5,5
Q13_1,5,5,5,5,5,6,6,5,5,7,5,7,5,5,7,7,3,7,5,4,5,7,4,6,6,7,7,5,6,7,5,5
Q14_1,5,6,5,6,5,5,5,4,3,7,5,5,5,6,7,4,6,6,6,4,5,6,5,6,5,7,6,5,6,6,4,4
Q15_1,5,4,5,4,5,6,5,4,4,6,4,4,4,5,7,2,3,5,3,4,4,6,4,6,6,6,7,5,5,5,5,5
Q16_1,4,5,6,5,4,5,4,6,2,5,5,5,5,6,6,3,5,6,6,4,6,6,6,6,5,7,7,5,5,5,5,5
Q17_1,4,4,4,3,4,5,4,6,5,3,5,4,5,5,5,6,3,4,3,3,6,4,5,4,7,6,7,5,3,3,2,5
Q18_1,2,4,3,3,5,6,5,6,3,3,5,2,5,4,5,5,2,5,5,3,5,6,3,6,4,6,5,3,4,5,3,4
Q19_1,4,4,3,5,6,6,5,5,5,7,5,7,6,5,7,3,5,6,5,4,6,6,7,6,6,7,7,5,6,3,5,5
Q20_1,5,5,1,4,4,5,4,6,3,7,4,1,4,4,5,2,2,5,3,4,5,6,3,4,3,4,5,3,4,1,5,5
Q21_1,5,4,3,5,5,6,6,5,5,7,5,7,5,5,7,3,6,6,6,4,6,7,4,6,7,6,6,4,5,5,5,5
Q22_1,4,4,6,4,5,5,6,5,5,7,5,6,5,5,7,5,5,6,4,5,5,6,4,7,6,4,5,5,3,4,5,5
Q23_1,4,4,5,5,5,6,4,6,7,6,4,5,6,5,6,5,5,6,6,4,6,6,6,6,6,5,7,5,4,5,5,4
Q24_1,6,5,7,5,6,6,6,6,6,6,5,7,5,5,7,5,7,6,5,4,6,6,6,6,6,5,7,6,3,7,4,5
Q25_1,3,5,5,5,5,4,4,5,6,7,5,7,4,4,6,5,4,4,5,4,5,6,6,6,4,7,4,5,3,5,5,5
Q26_1,3,3,5,3,5,5,5,5,5,6,5,6,4,5,6,3,6,3,4,4,5,6,4,6,4,6,4,4,4,4,4,3
Q27_1,5,5,5,5,4,4,3,5,3,7,4,7,5,4,7,5,5,5,5,5,5,5,5,6,5,6,4,6,5,6,5,4
Q28_1,3,6,4,5,5,6,5,7,5,7,5,4,4,4,5,6,5,6,6,4,6,7,6,5,4,5,6,5,5,5,3,4
Q29_1,3,4,6,4,6,5,4,6,3,5,4,5,4,5,5,3,5,4,4,4,6,6,5,6,5,5,6,5,5,5,5,3
Q30_1,4,5,5,3,5,6,4,5,6,4,5,5,5,5,7,5,5,7,5,4,6,6,5,7,6,5,5,6,7,6,5,3
Q31_1,4,2,4,2,5,5,2,2,7,2,3,2,4,5,4,3,5,2,2,4,3,2,5,5,1,5,2,4,2,6,2,2
Q32_1,3,3,5,4,5,5,3,3,6,4,3,2,5,6,5,3,5,5,3,4,3,4,5,6,1,7,4,6,3,6,4,2
Q33_1,1,3,1,2,3,3,1,1,7,1,2,3,2,2,2,1,3,1,3,2,1,3,4,2,2,5,2,3,1,3,3,1
Q34_1,3,3,1,3,4,5,2,2,6,3,3,2,2,3,2,2,6,1,2,3,2,3,3,5,2,5,1,3,1,3,3,2
Q35_1,4,7,5,3,4,6,4,3,7,2,4,2,3,6,7,5,5,5,5,4,3,5,6,6,5,7,6,4,2,5,3,2
Q36_1,3,5,3,3,3,5,2,3,7,3,3,4,3,4,2,5,3,2,3,3,3,3,6,4,2,5,3,4,1,5,3,2
Q37_1,3,3,3,4,3,5,2,2,5,4,3,7,3,5,3,2,5,6,2,3,2,2,2,3,4,3,3,5,2,4,2,3
Q38_1,2,4,2,2,3,4,2,1,3,2,3,1,3,3,2,2,5,2,1,3,1,2,5,5,1,3,1,3,1,5,1,1
Q39_1,5,3,4,3,4,4,5,3,5,5,3,4,5,4,6,5,5,3,2,4,4,4,6,6,4,5,4,4,5,4,4,3
Q40_1,2,5,3,3,5,4,2,2,4,4,4,2,4,3,3,4,3,2,3,4,3,4,3,4,3,7,5,4,2,6,4,3
Q41_1,2,3,5,3,4,4,5,5,3,7,4,3,4,4,7,4,5,6,3,5,4,5,4,7,5,6,5,3,4,4,3,3
Q42_1,2,5,4,3,3,5,3,5,5,5,4,3,3,3,3,4,2,5,4,5,6,5,4,5,3,2,5,4,3,5,3,3
Q43_1,6,5,7,5,7,7,6,6,5,7,5,7,6,5,7,6,6,7,5,4,6,7,6,6,6,5,7,6,7,5,5,5
Q44_1,3,5,5,4,5,6,4,5,3,6,5,5,3,5,7,6,6,4,4,4,5,7,4,5,5,6,4,5,4,4,4,4
Q45_1,5,4,5,4,6,6,4,5,3,7,5,5,5,5,7,6,5,6,6,4,6,6,4,7,5,4,6,5,5,6,5,5
Q46_1,1,3,3,3,4,4,3,5,3,3,3,3,3,3,3,5,2,2,4,3,6,5,3,5,4,4,5,6,2,5,3,4
Q47_1,5,4,4,5,4,5,5,6,3,6,6,5,5,4,6,4,2,6,5,4,6,6,4,6,5,6,5,3,4,5,3,5
Q48_1,1,5,5,3,5,5,5,5,3,5,5,3,4,3,6,3,4,6,4,4,5,6,4,4,5,5,6,3,4,4,4,3
Q49_1,4,5,6,5,6,6,5,5,5,7,5,7,5,5,7,5,6,7,7,4,6,7,5,7,6,7,7,6,6,6,5,5
Q50_1,5,4,3,4,4,5,4,6,3,4,4,2,5,3,6,5,5,2,5,4,5,6,4,6,4,5,6,3,6,3,3,5
Q51_1,6,4,5,5,6,6,5,6,3,7,5,7,6,6,7,3,6,7,6,4,5,7,4,6,6,6,6,6,7,6,4,6
Q52_1,4,6,3,5,5,5,4,5,4,5,4,3,5,5,6,4,4,6,5,4,5,5,5,6,4,7,5,4,5,6,4,5
Q53_1,4,3,3,5,3,5,4,4,3,5,4,4,4,4,5,5,3,2,2,4,5,6,3,5,4,3,3,5,3,3,5,5
Q54_1,4,4,5,4,5,6,5,5,3,5,5,5,5,5,7,3,5,5,4,4,5,6,5,6,6,6,6,5,6,6,4,5
Q55_1,2,4,2,3,4,7,4,6,3,7,4,6,3,4,6,5,6,7,4,5,6,6,5,6,5,7,7,5,5,5,5,5
Q56_1,5,5,3,5,4,5,5,4,3,4,5,5,5,5,7,6,3,5,3,5,5,6,4,6,5,6,5,5,4,5,5,4
Q57_1,5,5,6,4,5,6,5,5,4,7,5,7,5,5,7,5,5,7,6,5,7,6,4,7,7,6,6,6,6,6,2,5
Q58_1,4,4,7,5,5,5,6,6,3,7,5,6,6,6,7,5,6,7,6,5,6,7,5,7,7,5,6,5,6,5,5,5
Q59_1,4,5,6,6,5,6,5,5,5,7,5,7,5,5,7,6,6,7,5,5,5,6,5,6,5,6,5,5,4,7,3,6
Q60_1,3,3,5,5,4,5,5,5,3,6,5,6,5,4,6,6,6,6,4,5,5,5,4,5,7,3,7,4,2,5,2,4
Q61_1,3,4,4,4,4,5,2,3,5,6,4,4,4,4,6,3,5,4,3,4,3,6,7,6,2,5,4,5,1,5,4,3
Q62_1,4,4,5,5,5,5,5,5,5,5,4,6,5,5,7,2,5,6,5,4,6,6,6,5,5,5,4,4,5,5,3,4
Q63_1,4,3,6,4,5,6,5,6,5,6,5,5,4,6,7,6,5,7,5,5,6,5,4,6,3,6,4,4,4,5,4,5
Q64_1,2,3,2,2,3,4,2,2,5,2,3,1,3,2,2,2,4,5,1,3,2,3,3,4,2,4,1,3,2,2,1,2
Q65_1,5,6,7,5,6,6,7,6,4,7,5,7,5,6,7,7,6,7,7,5,7,6,5,7,7,6,6,7,6,6,4,5
Q66_1,3,3,1,3,3,5,1,2,6,1,2,2,3,2,5,1,4,3,1,3,2,2,5,5,2,3,2,5,1,4,2,2
Q67_1,3,3,2,4,5,5,5,5,5,3,5,4,3,4,6,3,5,4,4,4,5,6,6,5,5,4,6,6,3,4,2,4
Q68_1,1,3,2,3,1,4,2,1,3,2,2,1,2,2,1,2,3,1,1,3,1,2,2,4,1,2,1,3,1,1,1,1
Q69_1,2,3,3,4,3,5,3,4,3,2,4,2,4,4,5,4,5,2,3,4,4,5,6,5,3,6,5,4,2,3,2,3
Q70_1,3,3,3,3,4,4,3,4,5,2,3,3,2,3,2,2,5,3,3,3,3,4,3,5,1,4,3,4,2,3,3,2
Q71_1,1,3,5,5,5,5,4,4,7,2,3,4,4,5,5,5,5,4,4,4,4,4,5,5,2,7,4,6,1,4,4,2
Q72_1,4,3,4,4,4,6,3,3,5,4,3,3,3,4,4,3,6,6,3,5,3,5,4,6,3,5,3,6,2,4,3,3
Q73_1,3,3,2,3,4,5,3,5,6,4,4,4,3,4,6,3,4,5,2,4,5,6,4,5,4,6,2,5,2,3,3,2
Q74_1,1,2,2,3,2,2,1,2,2,1,2,1,2,2,2,2,2,1,1,3,2,2,4,3,2,2,2,2,1,1,1,1
Q75_1,3,4,3,4,4,6,4,3,3,2,4,2,2,2,5,2,3,2,3,3,3,4,3,5,4,2,3,3,1,4,4,3
Q76_1,1,3,3,3,1,4,3,5,2,1,3,4,3,2,4,5,2,1,2,3,6,6,3,3,7,1,5,5,2,2,2,3
Q77_1,2,2,1,3,3,4,3,2,2,2,2,2,3,3,3,5,3,1,1,3,2,3,4,4,1,3,2,4,2,2,1,2
Q78_1,4,4,3,4,5,5,5,4,6,7,4,2,4,4,7,4,5,5,3,4,5,5,5,6,5,6,4,5,3,4,3,3
Q79_1,3,4,5,5,6,6,4,6,5,2,4,5,4,4,7,5,6,4,5,4,5,7,4,6,4,4,6,5,5,5,4,4
Q80_1,2,2,1,5,2,4,4,6,4,4,4,2,3,5,3,4,3,2,3,3,5,5,5,6,6,4,3,4,2,1,4,3
Q81_1,3,4,4,5,4,6,5,7,5,5,5,2,6,5,7,5,3,4,5,5,6,6,5,6,7,6,7,6,5,7,5,4
Q82_1,2,4,3,5,4,6,4,6,3,2,5,3,5,4,6,4,3,6,2,3,7,6,3,7,4,2,6,5,4,2,5,5
Q83_1,3,4,3,3,4,4,4,5,3,1,4,2,3,4,3,4,3,3,3,4,4,5,5,5,4,6,3,6,3,3,2,3
Q84_1,4,6,6,4,6,6,5,7,7,7,5,7,6,5,7,5,5,7,6,5,7,7,6,6,7,6,7,6,7,6,3,5
Q85_1,4,4,6,5,6,6,5,7,6,6,5,7,6,5,7,5,6,7,5,4,6,6,5,6,5,6,6,6,6,6,4,5
Q86_1,3,6,4,5,5,5,4,4,6,5,4,4,4,4,3,6,5,2,4,4,5,6,6,6,4,4,5,5,2,4,3,5
Q87_1,3,5,2,5,4,5,4,5,6,4,5,2,5,4,6,3,5,4,3,4,5,6,5,5,5,6,5,6,2,4,4,3
Q88_1,3,3,3,2,4,4,3,4,6,3,3,1,2,4,5,2,2,2,3,4,3,4,3,5,3,4,4,3,2,3,1,2
Q89_1,4,6,6,5,6,5,7,6,6,7,5,7,7,5,7,6,5,7,4,5,7,6,6,6,4,7,7,6,7,7,5,5
Q90_1,2,2,3,5,4,5,3,5,6,2,4,3,3,3,5,3,3,3,4,4,4,5,4,5,3,4,3,3,4,4,3,2
Q91_1,3,5,5,4,6,5,5,6,6,5,4,5,5,5,7,3,7,4,3,4,6,6,5,6,3,6,5,6,3,2,5,3
Q92_1,1,2,1,2,2,3,1,1,3,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,3,1,2,1,1
Q93_1,4,4,6,5,5,6,5,6,6,6,5,5,5,6,7,5,5,7,5,4,6,6,6,6,5,7,7,6,6,5,5,5
Q94_1,3,3,5,5,3,5,4,6,6,4,4,4,4,4,6,4,4,5,3,4,6,5,5,6,4,6,5,5,4,4,2,3
Q95_1,3,4,2,2,4,5,3,3,6,1,3,2,3,3,4,2,5,5,3,3,3,6,4,3,2,4,3,3,2,3,2,2
Q96_1,3,3,2,5,5,5,5,5,6,4,4,5,4,3,6,5,5,5,6,4,5,6,5,5,5,7,4,6,2,4,3,3
Q97_1,3,6,5,3,6,6,6,6,3,5,5,7,6,5,7,3,5,6,5,3,6,6,4,6,4,4,6,5,4,6,4,6
Q98_1,2,4,6,4,4,4,4,5,6,3,4,6,4,5,5,2,4,4,5,4,7,6,3,5,5,3,5,4,4,3,5,5
Q99_1,2,3,2,3,3,5,3,3,3,3,3,1,2,3,2,1,2,1,3,4,2,4,3,6,3,5,3,3,1,4,1,1
Q100_1,3,5,6,5,5,6,5,5,6,6,5,5,3,6,6,5,5,6,5,4,5,7,5,6,5,7,6,6,4,5,4,4
Q101_1,3,2,2,3,4,5,4,3,3,2,3,1,3,3,6,3,5,4,3,4,3,4,5,5,3,5,4,3,2,2,2,3
Q102_1,2,5,3,3,4,5,4,4,3,5,4,3,4,4,7,3,5,5,5,4,5,6,5,6,4,3,6,4,6,3,5,3
Q103_1,4,2,4,4,3,6,3,3,3,3,3,3,4,3,3,3,4,2,3,3,4,4,4,5,5,4,4,5,5,4,4,4
Q104_1,5,5,4,6,5,6,5,6,3,6,4,4,4,4,7,5,3,6,5,4,5,6,4,6,6,6,6,5,3,5,5,4
Q105_1,3,2,1,3,3,3,2,2,2,1,4,1,2,2,2,2,3,2,2,3,2,5,2,3,1,2,3,2,1,1,2,1
Q106_1,2,4,5,5,4,5,5,7,6,4,4,6,5,6,7,5,5,7,4,4,6,5,4,6,5,3,6,5,5,5,4,5
Q107_1,3,4,4,4,4,5,5,4,5,3,4,5,3,5,5,5,3,3,3,4,4,6,3,5,4,6,7,5,5,4,3,5
Q108_1,4,4,5,4,5,6,4,4,5,5,4,3,5,5,6,4,5,6,6,5,4,6,4,6,6,6,5,6,2,5,2,3
Q109_1,4,3,3,5,5,6,4,6,5,5,5,4,5,4,7,4,4,6,6,4,6,6,6,7,3,3,6,4,5,5,4,5
Q110_1,2,4,5,5,5,6,4,3,3,5,4,2,3,4,6,3,5,5,3,4,3,5,5,6,3,5,5,5,3,5,2,3
Q111_1,3,4,5,4,4,5,4,5,5,2,4,3,3,4,6,5,3,3,3,4,5,4,4,6,3,4,5,4,5,2,3,3
Q112_1,2,3,5,4,2,6,3,4,3,1,4,2,3,4,5,3,3,2,4,4,5,4,3,6,4,3,4,4,1,2,3,4
Q113_1,3,3,4,3,4,5,5,5,5,4,4,6,4,4,7,4,3,6,4,4,4,5,4,6,5,4,5,6,4,3,3,3
Q114_1,3,4,3,3,3,6,4,3,3,3,3,2,3,3,5,3,6,4,3,4,3,5,4,6,3,4,5,5,3,3,2,3
Q115_1,1,4,1,4,1,3,3,5,4,1,3,2,3,3,4,5,2,2,1,3,4,6,2,4,4,3,2,5,2,2,2,3
Q116_1,2,2,1,3,3,3,3,2,2,1,3,2,2,3,3,1,3,3,2,3,2,2,3,5,2,2,2,3,1,2,1,2
Q117_1,3,6,3,2,5,5,4,5,5,5,4,5,3,4,3,3,3,7,6,4,5,5,4,6,2,4,4,5,2,3,3,3
Q118_1,2,3,1,4,2,4,3,4,2,2,3,2,3,3,4,3,3,1,2,3,5,5,2,6,3,3,3,2,3,2,1,4
Q119_1,3,2,5,3,4,4,4,5,3,3,4,3,5,4,3,2,3,2,4,3,5,5,3,6,3,2,4,5,3,4,2,2
Q120_1,4,4,3,3,5,6,5,6,5,4,5,3,5,5,7,5,3,6,3,4,7,6,5,7,6,3,5,6,5,5,4,3
Q121_1,5,7,3,6,6,6,5,6,7,6,5,3,7,5,7,5,6,7,6,5,5,7,3,6,7,6,6,6,5,7,2,5
Q122_1,4,5,6,5,6,6,5,7,5,5,5,5,5,4,6,6,5,7,6,4,7,6,5,7,5,7,6,5,5,6,2,5
Q123_1,3,6,2,5,5,6,5,7,3,2,6,7,5,4,7,4,7,7,3,5,7,6,6,6,7,3,2,6,5,6,5,5
Q124_1,3,3,2,4,4,5,3,3,3,1,3,2,3,3,2,4,5,4,1,4,3,3,3,5,2,3,3,4,2,3,2,2
Q125_1,2,4,2,4,4,5,3,3,3,4,3,1,4,4,3,2,3,5,3,4,3,6,3,5,4,4,3,3,2,4,3,2
Q126_1,3,4,5,2,4,5,3,3,5,5,4,4,5,4,4,4,6,6,5,4,5,5,4,6,3,6,5,5,2,5,4,3
Q127_1,3,3,2,3,4,5,3,2,3,2,3,2,4,3,3,4,3,4,3,4,2,4,4,6,4,7,3,5,3,5,1,2
Q128_1,4,5,3,4,5,5,5,4,6,6,4,3,5,3,7,3,5,5,4,4,4,6,5,6,2,6,5,6,3,5,3,4
Q129_1,3,3,3,4,5,5,5,4,6,6,3,4,5,4,3,5,5,6,4,3,3,2,4,6,5,6,4,5,2,5,2,2
Q130_1,2,2,3,3,4,3,3,5,3,2,4,1,3,4,6,6,2,1,1,4,5,6,3,4,5,2,5,3,5,2,2,3
Q131_1,3,4,3,4,4,6,4,4,5,5,3,3,3,3,4,5,3,3,3,4,4,5,6,5,4,4,2,3,3,5,3,3
Q132_1,4,3,4,5,4,6,5,5,3,2,4,5,5,4,6,6,6,3,5,4,5,5,5,5,5,5,7,6,3,3,3,5
Q133_1,3,4,3,4,3,5,3,3,4,2,4,2,4,3,3,5,3,4,3,4,3,3,3,6,3,5,4,4,2,3,2,2
Q134_1,3,4,4,4,4,4,4,4,5,2,3,2,3,3,6,3,5,2,2,3,4,4,3,6,4,6,4,3,2,5,2,3
Q135_1,3,4,5,5,4,5,5,5,4,3,4,4,3,4,5,5,3,6,5,3,5,5,5,5,4,6,4,5,6,4,2,3
Q136_1,3,5,5,5,3,5,4,5,5,2,5,4,4,4,6,3,3,3,3,4,5,5,4,5,4,6,5,6,4,6,5,4
Q137_1,3,3,4,5,4,5,5,5,5,2,4,2,4,4,6,3,4,3,3,4,5,5,4,5,3,3,5,5,4,5,3,3
Q138_1,4,6,3,5,7,6,6,7,3,7,5,7,6,6,7,5,5,7,4,5,7,7,7,6,7,7,7,6,7,6,4,5
Q139_1,2,3,6,4,6,6,4,7,6,4,5,7,5,6,7,5,5,7,6,5,7,7,7,6,7,7,6,5,7,6,3,6
Q140_1,6,5,5,6,6,6,5,6,5,7,6,7,5,7,6,4,5,6,5,4,6,7,5,6,7,6,5,6,4,6,3,5
Q141_1,5,4,5,5,4,7,5,5,2,4,5,7,4,5,6,4,5,5,4,4,6,5,4,6,6,5,5,5,4,5,3,5
Q142_1,1,2,1,3,1,4,3,3,2,2,3,1,2,2,3,1,3,2,2,3,3,4,3,3,3,1,6,3,3,1,1,3
Q143_1,3,4,3,4,3,5,4,4,2,5,4,4,3,2,5,6,3,3,3,3,4,4,3,5,4,5,4,3,2,4,2,3
Q144_1,5,4,5,4,4,6,6,5,2,6,5,3,5,4,6,5,5,5,6,4,5,6,4,6,6,5,5,6,6,6,4,4
Q145_1,3,4,4,5,4,6,6,5,2,6,5,5,5,5,7,5,5,6,4,5,6,6,5,6,4,6,4,5,6,5,4,5
Q146_1,4,3,5,5,4,5,5,5,3,6,4,4,5,4,7,5,4,5,5,4,4,6,6,6,4,5,6,4,5,4,3,4
Q147_1,3,4,5,5,5,6,4,6,3,7,5,7,5,5,6,3,6,6,6,4,6,6,4,6,7,6,6,6,6,5,5,5
Q148_1,3,3,4,3,3,4,4,3,1,3,4,2,3,4,4,3,2,2,2,4,3,4,4,6,2,4,5,3,3,4,4,3
Q149_1,4,3,5,5,2,5,5,5,3,3,4,5,5,4,7,5,5,5,3,5,5,7,4,5,5,5,5,5,4,5,5,5
Q150_1,3,4,3,5,5,5,4,6,3,2,5,7,5,4,6,5,3,4,4,5,6,5,5,6,7,2,5,4,6,4,3,5
Q151_1,3,4,3,5,3,3,3,3,6,1,3,2,3,3,2,4,2,2,2,3,3,3,3,5,3,2,3,3,2,1,1,4
Q152_1,3,3,3,2,2,3,3,3,3,3,3,2,2,3,3,3,1,2,2,3,3,4,3,5,3,3,3,3,2,5,2,2
Q153_1,3,5,3,4,4,5,4,3,3,5,4,2,3,4,2,3,6,5,3,3,3,5,4,4,2,4,4,5,1,5,4,2
Q154_1,3,3,2,3,2,4,3,2,3,1,2,2,3,3,3,2,3,1,2,3,2,4,3,3,1,3,3,2,1,3,1,2
Q155_1,3,3,1,3,3,2,2,2,5,3,3,1,3,3,3,5,4,2,1,3,2,3,4,5,3,2,4,3,1,3,1,2
Q156_1,2,2,2,2,3,5,2,3,3,1,3,5,2,2,3,2,3,3,2,3,2,3,5,5,3,2,1,3,1,2,2,2
Q157_1,2,3,2,2,1,3,2,3,3,1,3,2,2,2,3,1,2,2,1,3,2,3,3,2,2,3,2,4,1,1,2,2
Q158_1,2,2,1,3,3,5,2,1,5,1,2,1,3,3,3,2,3,2,2,3,1,2,5,3,2,2,3,3,1,2,1,2
Q159_1,2,2,1,3,2,4,2,1,6,1,3,1,2,2,3,1,2,1,1,3,1,2,4,5,1,4,3,2,1,2,2,2
Q160_1,3,3,1,3,3,4,2,2,6,1,2,2,2,3,2,1,3,2,3,3,2,4,3,5,1,2,2,4,1,2,1,1
Q161_1,3,4,4,5,4,5,3,4,3,2,3,4,3,4,2,4,3,4,3,3,3,5,3,5,3,5,5,3,1,5,3,2
Q162_1,3,4,5,4,5,5,3,4,5,5,3,6,3,5,4,5,6,7,4,4,4,6,5,7,4,6,2,4,3,5,3,4
Q163_1,3,3,2,3,3,4,2,3,3,3,3,3,3,2,2,2,3,1,3,3,3,4,3,4,2,5,3,3,3,3,2,2
Q64_1.1,4,4,4,3,4,6,5,3,2,6,4,2,4,4,6,5,6,5,4,4,3,6,3,6,4,5,5,5,2,3,2,5
Q165_1,2,2,5,4,3,5,4,4,3,3,4,2,4,3,4,1,3,3,4,4,4,5,3,5,4,6,6,4,5,5,3,5
Q166_1,3,3,4,3,4,5,4,5,6,7,3,3,5,4,6,4,3,4,3,4,4,4,6,5,3,5,4,5,2,3,2,3
Q167_1,3,3,2,3,3,5,3,4,6,3,3,2,3,2,3,5,3,3,2,4,4,5,3,3,3,5,4,5,3,5,2,2
Q168_1,3,2,2,3,3,5,3,3,3,1,3,1,3,3,2,1,2,2,1,3,2,3,3,3,2,2,4,4,2,4,1,2
Q169_1,3,5,5,5,5,6,6,6,5,5,5,6,6,5,5,4,5,6,5,4,5,5,4,7,5,6,6,6,4,4,4,3
Q170_1,3,4,5,3,5,5,5,5,2,4,5,3,6,5,7,5,6,2,3,4,5,5,5,6,4,5,2,5,4,3,3,3
Q171_1,5,5,5,5,6,5,5,6,3,6,5,6,5,6,7,5,5,6,4,4,5,6,5,6,5,6,6,5,4,5,5,5
Q172_1,4,4,5,5,4,4,4,5,2,3,4,5,4,6,5,2,3,5,4,4,4,5,4,6,5,5,4,3,4,5,4,2
Q173_1,4,2,5,4,3,4,4,4,3,3,4,3,4,2,5,4,4,2,3,3,4,5,5,5,3,3,3,4,4,5,2,3
Q174_1,4,3,2,4,2,4,3,4,2,4,4,4,3,2,4,2,4,1,4,4,3,4,3,4,3,3,4,3,5,4,2,2
Q175_1,4,4,5,3,4,4,4,5,3,5,4,5,4,3,5,4,3,3,4,3,4,5,4,6,3,5,5,3,3,4,2,2
Q176_1,4,5,6,5,5,5,4,7,3,7,5,6,5,5,7,3,6,7,6,4,6,7,4,7,5,6,7,6,5,5,5,5
Q177_1,5,4,6,3,4,6,5,5,3,6,5,6,5,5,7,5,3,4,6,4,5,6,5,5,6,6,7,6,6,5,5,6
Q178_1,4,3,2,5,4,5,6,4,2,6,4,6,4,5,7,4,4,5,6,5,4,5,4,6,5,3,5,3,4,5,4,3
Q179_1,2,3,2,3,2,3,3,4,1,2,4,2,3,2,2,2,2,2,1,3,3,3,2,3,3,2,4,3,3,2,1,3
Q180_1,3,3,5,4,4,5,3,5,2,4,5,3,3,2,5,4,4,3,4,4,5,6,3,5,5,3,5,3,6,5,2,4
